Epoch: 1, lr: 2.00e-04, hubert_lr: 1.00e-05 - train loss: 3.54e-01 - valid loss: 1.14e-01, valid error_rate: 1.60e-02
Epoch: 2, lr: 2.00e-04, hubert_lr: 1.00e-05 - train loss: 1.26e-01 - valid loss: 1.05e-01, valid error_rate: 1.60e-02
Epoch: 3, lr: 1.80e-04, hubert_lr: 9.00e-06 - train loss: 7.14e-02 - valid loss: 7.47e-02, valid error_rate: 1.60e-02
Epoch: 4, lr: 1.62e-04, hubert_lr: 8.10e-06 - train loss: 2.13e-02 - valid loss: 1.36e-01, valid error_rate: 1.60e-02
Epoch: 5, lr: 1.46e-04, hubert_lr: 7.29e-06 - train loss: 9.33e-03 - valid loss: 2.21e-01, valid error_rate: 2.40e-02
Epoch: 6, lr: 1.31e-04, hubert_lr: 6.56e-06 - train loss: 1.93e-02 - valid loss: 1.68e-01, valid error_rate: 1.60e-02
Epoch: 7, lr: 1.31e-04, hubert_lr: 6.56e-06 - train loss: 5.82e-03 - valid loss: 2.46e-01, valid error_rate: 2.40e-02
Epoch: 8, lr: 1.18e-04, hubert_lr: 5.90e-06 - train loss: 3.27e-02 - valid loss: 2.07e-01, valid error_rate: 1.60e-02
Epoch: 9, lr: 1.18e-04, hubert_lr: 5.90e-06 - train loss: 3.93e-03 - valid loss: 2.18e-01, valid error_rate: 1.60e-02
Epoch: 10, lr: 1.06e-04, hubert_lr: 5.31e-06 - train loss: 2.35e-02 - valid loss: 2.22e-01, valid error_rate: 1.60e-02
Epoch: 11, lr: 9.57e-05, hubert_lr: 4.78e-06 - train loss: 2.53e-03 - valid loss: 2.23e-01, valid error_rate: 1.60e-02
Epoch: 12, lr: 8.61e-05, hubert_lr: 4.30e-06 - train loss: 6.83e-03 - valid loss: 2.22e-01, valid error_rate: 1.60e-02
Epoch: 13, lr: 7.75e-05, hubert_lr: 3.87e-06 - train loss: 1.10e-02 - valid loss: 2.29e-01, valid error_rate: 1.60e-02
Epoch: 14, lr: 6.97e-05, hubert_lr: 3.49e-06 - train loss: 3.48e-03 - valid loss: 2.25e-01, valid error_rate: 1.60e-02
Epoch: 15, lr: 6.28e-05, hubert_lr: 3.14e-06 - train loss: 3.74e-04 - valid loss: 2.38e-01, valid error_rate: 1.60e-02
Epoch: 16, lr: 5.65e-05, hubert_lr: 2.82e-06 - train loss: 9.42e-05 - valid loss: 2.44e-01, valid error_rate: 1.60e-02
Epoch: 17, lr: 5.08e-05, hubert_lr: 2.54e-06 - train loss: 1.68e-04 - valid loss: 2.44e-01, valid error_rate: 1.60e-02
Epoch: 18, lr: 4.58e-05, hubert_lr: 2.29e-06 - train loss: 4.36e-04 - valid loss: 2.46e-01, valid error_rate: 1.60e-02
Epoch: 19, lr: 4.12e-05, hubert_lr: 2.06e-06 - train loss: 2.00e-04 - valid loss: 2.52e-01, valid error_rate: 1.60e-02
Epoch: 20, lr: 3.71e-05, hubert_lr: 1.85e-06 - train loss: 1.33e-02 - valid loss: 2.48e-01, valid error_rate: 1.60e-02
Epoch: 21, lr: 3.34e-05, hubert_lr: 1.67e-06 - train loss: 4.23e-05 - valid loss: 2.49e-01, valid error_rate: 1.60e-02
Epoch: 22, lr: 3.00e-05, hubert_lr: 1.50e-06 - train loss: 3.88e-04 - valid loss: 2.51e-01, valid error_rate: 1.60e-02
Epoch: 23, lr: 2.70e-05, hubert_lr: 1.35e-06 - train loss: 3.69e-05 - valid loss: 2.49e-01, valid error_rate: 1.60e-02
Epoch: 24, lr: 2.43e-05, hubert_lr: 1.22e-06 - train loss: 6.47e-04 - valid loss: 2.53e-01, valid error_rate: 1.60e-02
Epoch: 25, lr: 2.19e-05, hubert_lr: 1.09e-06 - train loss: 1.44e-02 - valid loss: 2.48e-01, valid error_rate: 1.60e-02
Epoch: 26, lr: 1.97e-05, hubert_lr: 9.85e-07 - train loss: 5.42e-05 - valid loss: 2.50e-01, valid error_rate: 1.60e-02
Epoch: 27, lr: 1.77e-05, hubert_lr: 8.86e-07 - train loss: 1.80e-03 - valid loss: 2.51e-01, valid error_rate: 1.60e-02
Epoch: 28, lr: 1.60e-05, hubert_lr: 7.98e-07 - train loss: 1.19e-02 - valid loss: 2.49e-01, valid error_rate: 1.60e-02
Epoch: 29, lr: 1.44e-05, hubert_lr: 7.18e-07 - train loss: 3.85e-05 - valid loss: 2.50e-01, valid error_rate: 1.60e-02
Epoch: 30, lr: 1.29e-05, hubert_lr: 6.46e-07 - train loss: 3.06e-02 - valid loss: 2.30e-01, valid error_rate: 1.60e-02
Epoch loaded: 30 - test loss: 2.69e-06, test error_rate: 0.00e+00
