Epoch: 1, lr: 1.00e-04, wave2vec_lr: 1.00e-05 - train loss: 4.12e-01 - valid loss: 3.80e-01, valid error_rate: 5.60e-02
Epoch: 2, lr: 1.00e-04, wave2vec_lr: 1.00e-05 - train loss: 8.66e-02 - valid loss: 8.53e-02, valid error_rate: 1.60e-02
Epoch: 3, lr: 1.00e-04, wave2vec_lr: 1.00e-05 - train loss: 2.18e-02 - valid loss: 7.36e-02, valid error_rate: 8.00e-03
Epoch: 4, lr: 1.00e-04, wave2vec_lr: 1.00e-05 - train loss: 1.48e-04 - valid loss: 8.31e-02, valid error_rate: 8.00e-03
Epoch: 5, lr: 9.00e-05, wave2vec_lr: 9.00e-06 - train loss: 3.80e-02 - valid loss: 2.62e-01, valid error_rate: 3.20e-02
Epoch: 6, lr: 8.10e-05, wave2vec_lr: 8.10e-06 - train loss: 9.30e-02 - valid loss: 6.55e-04, valid error_rate: 0.00e+00
Epoch: 7, lr: 8.10e-05, wave2vec_lr: 8.10e-06 - train loss: 1.43e-02 - valid loss: 6.60e-02, valid error_rate: 8.00e-03
Epoch: 8, lr: 7.29e-05, wave2vec_lr: 7.29e-06 - train loss: 8.63e-04 - valid loss: 2.77e-02, valid error_rate: 8.00e-03
Epoch: 9, lr: 6.56e-05, wave2vec_lr: 6.56e-06 - train loss: 1.20e-02 - valid loss: 3.70e-01, valid error_rate: 3.20e-02
Epoch: 10, lr: 5.90e-05, wave2vec_lr: 5.90e-06 - train loss: 4.19e-02 - valid loss: 1.62e-04, valid error_rate: 0.00e+00
Epoch: 11, lr: 5.90e-05, wave2vec_lr: 5.90e-06 - train loss: 1.40e-02 - valid loss: 1.03e-04, valid error_rate: 0.00e+00
Epoch: 12, lr: 5.31e-05, wave2vec_lr: 5.31e-06 - train loss: 7.07e-05 - valid loss: 6.89e-05, valid error_rate: 0.00e+00
Epoch: 13, lr: 4.78e-05, wave2vec_lr: 4.78e-06 - train loss: 4.78e-05 - valid loss: 5.18e-05, valid error_rate: 0.00e+00
Epoch: 14, lr: 4.30e-05, wave2vec_lr: 4.30e-06 - train loss: 3.65e-05 - valid loss: 4.22e-05, valid error_rate: 0.00e+00
Epoch: 15, lr: 3.87e-05, wave2vec_lr: 3.87e-06 - train loss: 3.01e-05 - valid loss: 3.50e-05, valid error_rate: 0.00e+00
Epoch: 16, lr: 3.49e-05, wave2vec_lr: 3.49e-06 - train loss: 2.50e-05 - valid loss: 3.00e-05, valid error_rate: 0.00e+00
Epoch: 17, lr: 3.14e-05, wave2vec_lr: 3.14e-06 - train loss: 2.17e-05 - valid loss: 2.64e-05, valid error_rate: 0.00e+00
Epoch: 18, lr: 2.82e-05, wave2vec_lr: 2.82e-06 - train loss: 1.96e-05 - valid loss: 2.32e-05, valid error_rate: 0.00e+00
Epoch: 19, lr: 2.54e-05, wave2vec_lr: 2.54e-06 - train loss: 1.70e-05 - valid loss: 2.08e-05, valid error_rate: 0.00e+00
Epoch: 20, lr: 2.29e-05, wave2vec_lr: 2.29e-06 - train loss: 1.57e-05 - valid loss: 1.85e-05, valid error_rate: 0.00e+00
Epoch: 21, lr: 2.06e-05, wave2vec_lr: 2.06e-06 - train loss: 1.38e-05 - valid loss: 1.68e-05, valid error_rate: 0.00e+00
Epoch: 22, lr: 1.85e-05, wave2vec_lr: 1.85e-06 - train loss: 1.26e-05 - valid loss: 1.53e-05, valid error_rate: 0.00e+00
Epoch: 23, lr: 1.67e-05, wave2vec_lr: 1.67e-06 - train loss: 1.15e-05 - valid loss: 1.41e-05, valid error_rate: 0.00e+00
Epoch: 24, lr: 1.50e-05, wave2vec_lr: 1.50e-06 - train loss: 1.08e-05 - valid loss: 1.29e-05, valid error_rate: 0.00e+00
Epoch: 25, lr: 1.35e-05, wave2vec_lr: 1.35e-06 - train loss: 9.82e-06 - valid loss: 1.18e-05, valid error_rate: 0.00e+00
Epoch: 26, lr: 1.22e-05, wave2vec_lr: 1.22e-06 - train loss: 9.08e-06 - valid loss: 1.09e-05, valid error_rate: 0.00e+00
Epoch: 27, lr: 1.09e-05, wave2vec_lr: 1.09e-06 - train loss: 8.49e-06 - valid loss: 1.01e-05, valid error_rate: 0.00e+00
Epoch: 28, lr: 9.85e-06, wave2vec_lr: 9.85e-07 - train loss: 8.02e-06 - valid loss: 9.31e-06, valid error_rate: 0.00e+00
Epoch: 29, lr: 8.86e-06, wave2vec_lr: 8.86e-07 - train loss: 7.35e-06 - valid loss: 8.70e-06, valid error_rate: 0.00e+00
Epoch: 30, lr: 7.98e-06, wave2vec_lr: 7.98e-07 - train loss: 6.99e-06 - valid loss: 8.07e-06, valid error_rate: 0.00e+00
Epoch loaded: 30 - test loss: 1.87e-01, test error_rate: 1.59e-02
