Epoch: 1, lr: 1.00e-04, wave2vec_lr: 1.00e-05 - train loss: 9.13e-01 - valid loss: 7.03e-01, valid error_rate: 7.78e-02
Epoch: 2, lr: 1.00e-04, wave2vec_lr: 1.00e-05 - train loss: 1.74e-01 - valid loss: 1.94e-01, valid error_rate: 3.33e-02
Epoch: 3, lr: 1.00e-04, wave2vec_lr: 1.00e-05 - train loss: 5.05e-02 - valid loss: 1.63e-01, valid error_rate: 2.22e-02
Epoch: 4, lr: 1.00e-04, wave2vec_lr: 1.00e-05 - train loss: 1.18e-01 - valid loss: 8.36e-02, valid error_rate: 1.11e-02
Epoch: 5, lr: 1.00e-04, wave2vec_lr: 1.00e-05 - train loss: 5.18e-04 - valid loss: 9.03e-02, valid error_rate: 1.11e-02
Epoch: 6, lr: 1.00e-04, wave2vec_lr: 9.00e-06 - train loss: 1.48e-02 - valid loss: 7.51e-02, valid error_rate: 1.11e-02
Epoch: 7, lr: 1.00e-04, wave2vec_lr: 8.10e-06 - train loss: 2.17e-04 - valid loss: 9.02e-02, valid error_rate: 1.11e-02
Epoch: 8, lr: 9.00e-05, wave2vec_lr: 7.29e-06 - train loss: 5.91e-02 - valid loss: 5.14e-01, valid error_rate: 4.44e-02
Epoch: 9, lr: 9.00e-05, wave2vec_lr: 6.56e-06 - train loss: 1.02e-01 - valid loss: 9.98e-02, valid error_rate: 1.11e-02
Epoch: 10, lr: 9.00e-05, wave2vec_lr: 6.56e-06 - train loss: 3.25e-02 - valid loss: 1.57e-01, valid error_rate: 2.22e-02
Epoch: 11, lr: 9.00e-05, wave2vec_lr: 5.90e-06 - train loss: 5.34e-02 - valid loss: 1.85e-01, valid error_rate: 2.22e-02
Epoch: 12, lr: 8.10e-05, wave2vec_lr: 5.31e-06 - train loss: 5.54e-02 - valid loss: 9.62e-02, valid error_rate: 1.11e-02
Epoch: 13, lr: 8.10e-05, wave2vec_lr: 5.31e-06 - train loss: 1.91e-04 - valid loss: 1.03e-01, valid error_rate: 1.11e-02
Epoch: 14, lr: 8.10e-05, wave2vec_lr: 4.78e-06 - train loss: 8.84e-05 - valid loss: 1.07e-01, valid error_rate: 1.11e-02
Epoch: 15, lr: 8.10e-05, wave2vec_lr: 4.30e-06 - train loss: 6.51e-05 - valid loss: 1.10e-01, valid error_rate: 1.11e-02
Epoch: 16, lr: 7.29e-05, wave2vec_lr: 3.87e-06 - train loss: 4.81e-05 - valid loss: 1.13e-01, valid error_rate: 1.11e-02
Epoch: 17, lr: 7.29e-05, wave2vec_lr: 3.49e-06 - train loss: 6.89e-02 - valid loss: 1.78e-01, valid error_rate: 2.22e-02
Epoch: 18, lr: 7.29e-05, wave2vec_lr: 3.14e-06 - train loss: 1.95e-02 - valid loss: 9.87e-02, valid error_rate: 1.11e-02
Epoch: 19, lr: 7.29e-05, wave2vec_lr: 3.14e-06 - train loss: 4.43e-02 - valid loss: 1.07e-01, valid error_rate: 1.11e-02
Epoch: 20, lr: 6.56e-05, wave2vec_lr: 2.82e-06 - train loss: 4.55e-03 - valid loss: 1.14e-01, valid error_rate: 1.11e-02
Epoch: 21, lr: 6.56e-05, wave2vec_lr: 2.54e-06 - train loss: 7.39e-05 - valid loss: 1.14e-01, valid error_rate: 1.11e-02
Epoch: 22, lr: 6.56e-05, wave2vec_lr: 2.29e-06 - train loss: 4.24e-05 - valid loss: 1.16e-01, valid error_rate: 1.11e-02
Epoch: 23, lr: 5.90e-05, wave2vec_lr: 2.06e-06 - train loss: 3.98e-05 - valid loss: 1.18e-01, valid error_rate: 1.11e-02
Epoch: 24, lr: 5.90e-05, wave2vec_lr: 1.85e-06 - train loss: 3.12e-05 - valid loss: 1.20e-01, valid error_rate: 1.11e-02
Epoch: 25, lr: 5.90e-05, wave2vec_lr: 1.67e-06 - train loss: 2.67e-05 - valid loss: 1.21e-01, valid error_rate: 1.11e-02
Epoch: 26, lr: 5.31e-05, wave2vec_lr: 1.50e-06 - train loss: 2.47e-05 - valid loss: 1.23e-01, valid error_rate: 1.11e-02
Epoch: 27, lr: 5.31e-05, wave2vec_lr: 1.35e-06 - train loss: 2.13e-05 - valid loss: 1.24e-01, valid error_rate: 1.11e-02
Epoch: 28, lr: 5.31e-05, wave2vec_lr: 1.22e-06 - train loss: 1.77e-05 - valid loss: 1.25e-01, valid error_rate: 1.11e-02
Epoch: 29, lr: 4.78e-05, wave2vec_lr: 1.09e-06 - train loss: 1.73e-05 - valid loss: 1.26e-01, valid error_rate: 1.11e-02
Epoch: 30, lr: 4.78e-05, wave2vec_lr: 9.85e-07 - train loss: 1.59e-05 - valid loss: 1.27e-01, valid error_rate: 1.11e-02
Epoch loaded: 30 - test loss: 6.05e-02, test error_rate: 1.11e-02
