Epoch: 1, lr: 2.00e-04, wave2vec_lr: 1.00e-05 - train loss: 5.04e-01 - valid loss: 1.22e-01, valid error_rate: 5.60e-02
Epoch: 2, lr: 2.00e-04, wave2vec_lr: 1.00e-05 - train loss: 1.14e-01 - valid loss: 1.83e-01, valid error_rate: 4.80e-02
Epoch: 3, lr: 2.00e-04, wave2vec_lr: 1.00e-05 - train loss: 2.36e-02 - valid loss: 1.11e-01, valid error_rate: 2.40e-02
Epoch: 4, lr: 2.00e-04, wave2vec_lr: 1.00e-05 - train loss: 4.20e-02 - valid loss: 1.01e-01, valid error_rate: 1.60e-02
Epoch: 5, lr: 2.00e-04, wave2vec_lr: 1.00e-05 - train loss: 4.45e-02 - valid loss: 5.75e-02, valid error_rate: 1.60e-02
Epoch: 6, lr: 1.80e-04, wave2vec_lr: 9.00e-06 - train loss: 1.07e-02 - valid loss: 6.17e-02, valid error_rate: 8.00e-03
Epoch: 7, lr: 1.80e-04, wave2vec_lr: 9.00e-06 - train loss: 1.39e-03 - valid loss: 6.32e-02, valid error_rate: 8.00e-03
Epoch: 8, lr: 1.62e-04, wave2vec_lr: 8.10e-06 - train loss: 6.25e-05 - valid loss: 5.98e-02, valid error_rate: 8.00e-03
Epoch: 9, lr: 1.46e-04, wave2vec_lr: 7.29e-06 - train loss: 3.81e-05 - valid loss: 5.52e-02, valid error_rate: 8.00e-03
Epoch: 10, lr: 1.31e-04, wave2vec_lr: 6.56e-06 - train loss: 3.35e-05 - valid loss: 5.95e-02, valid error_rate: 8.00e-03
Epoch: 11, lr: 1.18e-04, wave2vec_lr: 5.90e-06 - train loss: 2.66e-05 - valid loss: 5.99e-02, valid error_rate: 8.00e-03
Epoch: 12, lr: 1.06e-04, wave2vec_lr: 5.31e-06 - train loss: 2.03e-05 - valid loss: 5.99e-02, valid error_rate: 8.00e-03
Epoch: 13, lr: 9.57e-05, wave2vec_lr: 4.78e-06 - train loss: 1.65e-05 - valid loss: 5.91e-02, valid error_rate: 8.00e-03
Epoch: 14, lr: 8.61e-05, wave2vec_lr: 4.30e-06 - train loss: 1.43e-05 - valid loss: 5.83e-02, valid error_rate: 8.00e-03
Epoch: 15, lr: 7.75e-05, wave2vec_lr: 3.87e-06 - train loss: 1.38e-05 - valid loss: 5.92e-02, valid error_rate: 8.00e-03
Epoch: 16, lr: 6.97e-05, wave2vec_lr: 3.49e-06 - train loss: 1.18e-05 - valid loss: 6.11e-02, valid error_rate: 8.00e-03
Epoch: 17, lr: 6.28e-05, wave2vec_lr: 3.14e-06 - train loss: 1.08e-05 - valid loss: 6.13e-02, valid error_rate: 8.00e-03
Epoch: 18, lr: 5.65e-05, wave2vec_lr: 2.82e-06 - train loss: 1.02e-05 - valid loss: 5.70e-02, valid error_rate: 8.00e-03
Epoch: 19, lr: 5.08e-05, wave2vec_lr: 2.54e-06 - train loss: 9.23e-06 - valid loss: 5.78e-02, valid error_rate: 8.00e-03
Epoch: 20, lr: 4.58e-05, wave2vec_lr: 2.29e-06 - train loss: 8.42e-06 - valid loss: 5.82e-02, valid error_rate: 8.00e-03
Epoch: 21, lr: 4.12e-05, wave2vec_lr: 2.06e-06 - train loss: 7.90e-06 - valid loss: 6.07e-02, valid error_rate: 8.00e-03
Epoch: 22, lr: 3.71e-05, wave2vec_lr: 1.85e-06 - train loss: 7.01e-06 - valid loss: 6.16e-02, valid error_rate: 8.00e-03
Epoch: 23, lr: 3.34e-05, wave2vec_lr: 1.67e-06 - train loss: 6.42e-06 - valid loss: 6.18e-02, valid error_rate: 8.00e-03
Epoch: 24, lr: 3.00e-05, wave2vec_lr: 1.50e-06 - train loss: 6.09e-06 - valid loss: 6.18e-02, valid error_rate: 8.00e-03
Epoch: 25, lr: 2.70e-05, wave2vec_lr: 1.35e-06 - train loss: 5.83e-06 - valid loss: 6.27e-02, valid error_rate: 8.00e-03
Epoch: 26, lr: 2.43e-05, wave2vec_lr: 1.22e-06 - train loss: 5.34e-06 - valid loss: 6.28e-02, valid error_rate: 8.00e-03
