Epoch: 1, lr: 1.00e-04, wave2vec_lr: 1.00e-05 - train loss: 5.42e-01 - valid loss: 1.41e-01, valid error_rate: 6.85e-02
Epoch: 2, lr: 1.00e-04, wave2vec_lr: 1.00e-05 - train loss: 1.95e-01 - valid loss: 2.33e-01, valid error_rate: 5.48e-02
Epoch: 3, lr: 1.00e-04, wave2vec_lr: 1.00e-05 - train loss: 1.28e-01 - valid loss: 1.79e-01, valid error_rate: 4.11e-02
Epoch: 4, lr: 1.00e-04, wave2vec_lr: 1.00e-05 - train loss: 6.31e-02 - valid loss: 2.23e-01, valid error_rate: 5.48e-02
Epoch: 5, lr: 9.00e-05, wave2vec_lr: 9.00e-06 - train loss: 6.59e-02 - valid loss: 1.71e-01, valid error_rate: 2.74e-02
Epoch: 6, lr: 9.00e-05, wave2vec_lr: 9.00e-06 - train loss: 1.69e-03 - valid loss: 2.30e-01, valid error_rate: 2.74e-02
Epoch: 7, lr: 8.10e-05, wave2vec_lr: 8.10e-06 - train loss: 4.91e-02 - valid loss: 8.77e-02, valid error_rate: 1.37e-02
Epoch: 8, lr: 8.10e-05, wave2vec_lr: 8.10e-06 - train loss: 1.67e-02 - valid loss: 1.09e-01, valid error_rate: 1.37e-02
Epoch: 9, lr: 7.29e-05, wave2vec_lr: 7.29e-06 - train loss: 2.16e-02 - valid loss: 8.96e-02, valid error_rate: 1.37e-02
Epoch: 10, lr: 6.56e-05, wave2vec_lr: 6.56e-06 - train loss: 2.35e-04 - valid loss: 7.18e-02, valid error_rate: 1.37e-02
Epoch: 11, lr: 5.90e-05, wave2vec_lr: 5.90e-06 - train loss: 6.09e-03 - valid loss: 6.59e-02, valid error_rate: 1.37e-02
Epoch: 12, lr: 5.31e-05, wave2vec_lr: 5.31e-06 - train loss: 2.19e-03 - valid loss: 2.25e-01, valid error_rate: 2.74e-02
Epoch: 13, lr: 4.78e-05, wave2vec_lr: 4.78e-06 - train loss: 5.38e-05 - valid loss: 2.35e-01, valid error_rate: 2.74e-02
Epoch: 14, lr: 4.30e-05, wave2vec_lr: 4.30e-06 - train loss: 2.26e-02 - valid loss: 1.97e-01, valid error_rate: 2.74e-02
Epoch: 15, lr: 3.87e-05, wave2vec_lr: 3.87e-06 - train loss: 2.58e-02 - valid loss: 1.72e-01, valid error_rate: 2.74e-02
Epoch: 16, lr: 3.49e-05, wave2vec_lr: 3.49e-06 - train loss: 1.60e-04 - valid loss: 2.10e-01, valid error_rate: 2.74e-02
Epoch: 17, lr: 3.14e-05, wave2vec_lr: 3.14e-06 - train loss: 4.14e-05 - valid loss: 2.13e-01, valid error_rate: 2.74e-02
Epoch: 18, lr: 2.82e-05, wave2vec_lr: 2.82e-06 - train loss: 3.43e-05 - valid loss: 2.15e-01, valid error_rate: 2.74e-02
Epoch: 19, lr: 2.54e-05, wave2vec_lr: 2.54e-06 - train loss: 1.10e-04 - valid loss: 2.23e-01, valid error_rate: 2.74e-02
Epoch: 20, lr: 2.29e-05, wave2vec_lr: 2.29e-06 - train loss: 6.80e-03 - valid loss: 2.33e-01, valid error_rate: 2.74e-02
Epoch: 21, lr: 2.06e-05, wave2vec_lr: 2.06e-06 - train loss: 2.90e-05 - valid loss: 2.37e-01, valid error_rate: 2.74e-02
Epoch: 22, lr: 1.85e-05, wave2vec_lr: 1.85e-06 - train loss: 2.42e-04 - valid loss: 2.46e-01, valid error_rate: 2.74e-02
Epoch: 23, lr: 1.67e-05, wave2vec_lr: 1.67e-06 - train loss: 2.18e-05 - valid loss: 2.48e-01, valid error_rate: 2.74e-02
Epoch: 24, lr: 1.50e-05, wave2vec_lr: 1.50e-06 - train loss: 1.92e-05 - valid loss: 2.49e-01, valid error_rate: 2.74e-02
Epoch: 25, lr: 1.35e-05, wave2vec_lr: 1.35e-06 - train loss: 2.81e-05 - valid loss: 2.52e-01, valid error_rate: 2.74e-02
Epoch: 26, lr: 1.22e-05, wave2vec_lr: 1.22e-06 - train loss: 1.69e-05 - valid loss: 2.53e-01, valid error_rate: 2.74e-02
Epoch: 27, lr: 1.09e-05, wave2vec_lr: 1.09e-06 - train loss: 1.64e-05 - valid loss: 2.54e-01, valid error_rate: 2.74e-02
Epoch: 28, lr: 9.85e-06, wave2vec_lr: 9.85e-07 - train loss: 1.55e-05 - valid loss: 2.55e-01, valid error_rate: 2.74e-02
Epoch: 29, lr: 8.86e-06, wave2vec_lr: 8.86e-07 - train loss: 1.55e-05 - valid loss: 2.56e-01, valid error_rate: 2.74e-02
Epoch: 30, lr: 7.98e-06, wave2vec_lr: 7.98e-07 - train loss: 1.54e-05 - valid loss: 2.56e-01, valid error_rate: 2.74e-02
Epoch loaded: 11 - test loss: 1.05e-01, test error_rate: 2.60e-02
