Epoch: 1, lr: 2.00e-04, wavlm_lr: 1.00e-05 - train loss: 3.21e-01 - valid loss: 3.05e-02, valid error_rate: 8.00e-03
Epoch: 2, lr: 2.00e-04, wavlm_lr: 1.00e-05 - train loss: 4.59e-02 - valid loss: 1.23e-02, valid error_rate: 8.00e-03
Epoch: 3, lr: 1.80e-04, wavlm_lr: 9.00e-06 - train loss: 3.99e-02 - valid loss: 5.67e-05, valid error_rate: 0.00e+00
Epoch: 4, lr: 1.80e-04, wavlm_lr: 9.00e-06 - train loss: 1.60e-02 - valid loss: 4.14e-05, valid error_rate: 0.00e+00
Epoch: 5, lr: 1.62e-04, wavlm_lr: 8.10e-06 - train loss: 1.45e-02 - valid loss: 1.17e-01, valid error_rate: 8.00e-03
Epoch: 6, lr: 1.46e-04, wavlm_lr: 7.29e-06 - train loss: 8.23e-04 - valid loss: 1.08e-01, valid error_rate: 8.00e-03
Epoch: 7, lr: 1.31e-04, wavlm_lr: 6.56e-06 - train loss: 7.71e-03 - valid loss: 2.58e-01, valid error_rate: 3.20e-02
Epoch: 8, lr: 1.18e-04, wavlm_lr: 5.90e-06 - train loss: 2.18e-02 - valid loss: 3.76e-05, valid error_rate: 0.00e+00
Epoch: 9, lr: 1.18e-04, wavlm_lr: 5.90e-06 - train loss: 8.93e-03 - valid loss: 1.52e-05, valid error_rate: 0.00e+00
Epoch: 10, lr: 1.06e-04, wavlm_lr: 5.31e-06 - train loss: 7.70e-04 - valid loss: 8.42e-06, valid error_rate: 0.00e+00
Epoch: 11, lr: 9.57e-05, wavlm_lr: 4.78e-06 - train loss: 2.13e-02 - valid loss: 1.72e-05, valid error_rate: 0.00e+00
Epoch: 12, lr: 8.61e-05, wavlm_lr: 4.30e-06 - train loss: 1.46e-04 - valid loss: 1.08e-05, valid error_rate: 0.00e+00
Epoch: 13, lr: 7.75e-05, wavlm_lr: 3.87e-06 - train loss: 1.55e-02 - valid loss: 3.33e-02, valid error_rate: 8.00e-03
Epoch: 14, lr: 6.97e-05, wavlm_lr: 3.49e-06 - train loss: 1.60e-04 - valid loss: 2.05e-05, valid error_rate: 0.00e+00
Epoch: 15, lr: 6.97e-05, wavlm_lr: 3.49e-06 - train loss: 6.73e-03 - valid loss: 1.31e-05, valid error_rate: 0.00e+00
Epoch: 16, lr: 6.28e-05, wavlm_lr: 3.14e-06 - train loss: 9.85e-05 - valid loss: 1.05e-05, valid error_rate: 0.00e+00
Epoch: 17, lr: 5.65e-05, wavlm_lr: 2.82e-06 - train loss: 8.29e-05 - valid loss: 8.03e-06, valid error_rate: 0.00e+00
Epoch: 18, lr: 5.08e-05, wavlm_lr: 2.54e-06 - train loss: 1.64e-04 - valid loss: 5.66e-06, valid error_rate: 0.00e+00
Epoch: 19, lr: 4.58e-05, wavlm_lr: 2.29e-06 - train loss: 3.50e-05 - valid loss: 4.75e-06, valid error_rate: 0.00e+00
Epoch: 20, lr: 4.12e-05, wavlm_lr: 2.06e-06 - train loss: 6.05e-05 - valid loss: 3.80e-06, valid error_rate: 0.00e+00
Epoch: 21, lr: 3.71e-05, wavlm_lr: 1.85e-06 - train loss: 1.44e-04 - valid loss: 3.72e-06, valid error_rate: 0.00e+00
Epoch: 22, lr: 3.34e-05, wavlm_lr: 1.67e-06 - train loss: 1.74e-02 - valid loss: 7.90e-06, valid error_rate: 0.00e+00
Epoch: 23, lr: 3.00e-05, wavlm_lr: 1.50e-06 - train loss: 3.48e-05 - valid loss: 6.56e-06, valid error_rate: 0.00e+00
Epoch: 24, lr: 2.70e-05, wavlm_lr: 1.35e-06 - train loss: 8.32e-05 - valid loss: 3.74e-06, valid error_rate: 0.00e+00
Epoch: 25, lr: 2.43e-05, wavlm_lr: 1.22e-06 - train loss: 4.45e-05 - valid loss: 4.14e-06, valid error_rate: 0.00e+00
Epoch: 26, lr: 2.19e-05, wavlm_lr: 1.09e-06 - train loss: 4.97e-05 - valid loss: 3.87e-06, valid error_rate: 0.00e+00
Epoch: 27, lr: 1.97e-05, wavlm_lr: 9.85e-07 - train loss: 1.64e-05 - valid loss: 3.50e-06, valid error_rate: 0.00e+00
Epoch: 28, lr: 1.77e-05, wavlm_lr: 8.86e-07 - train loss: 3.11e-05 - valid loss: 3.09e-06, valid error_rate: 0.00e+00
Epoch: 29, lr: 1.60e-05, wavlm_lr: 7.98e-07 - train loss: 8.01e-05 - valid loss: 2.81e-06, valid error_rate: 0.00e+00
Epoch: 30, lr: 1.44e-05, wavlm_lr: 7.18e-07 - train loss: 1.39e-05 - valid loss: 2.43e-06, valid error_rate: 0.00e+00
Epoch loaded: 30 - test loss: 1.94e-06, test error_rate: 0.00e+00
