Epoch: 1, lr: 1.00e-04, wavlm_lr: 1.00e-05 - train loss: 4.32e-01 - valid loss: 1.34e-01, valid error_rate: 4.00e-02
Epoch: 2, lr: 1.00e-04, wavlm_lr: 1.00e-05 - train loss: 6.99e-02 - valid loss: 4.36e-03, valid error_rate: 0.00e+00
Epoch: 3, lr: 1.00e-04, wavlm_lr: 1.00e-05 - train loss: 2.15e-02 - valid loss: 9.33e-04, valid error_rate: 0.00e+00
Epoch: 4, lr: 9.00e-05, wavlm_lr: 9.00e-06 - train loss: 2.13e-02 - valid loss: 5.63e-05, valid error_rate: 0.00e+00
Epoch: 5, lr: 8.10e-05, wavlm_lr: 8.10e-06 - train loss: 1.66e-03 - valid loss: 3.34e-05, valid error_rate: 0.00e+00
Epoch: 6, lr: 7.29e-05, wavlm_lr: 7.29e-06 - train loss: 1.57e-02 - valid loss: 8.12e-02, valid error_rate: 8.00e-03
Epoch: 7, lr: 6.56e-05, wavlm_lr: 6.56e-06 - train loss: 1.58e-02 - valid loss: 4.06e-05, valid error_rate: 0.00e+00
Epoch: 8, lr: 6.56e-05, wavlm_lr: 6.56e-06 - train loss: 5.73e-04 - valid loss: 8.75e-02, valid error_rate: 8.00e-03
Epoch: 9, lr: 5.90e-05, wavlm_lr: 5.90e-06 - train loss: 1.34e-03 - valid loss: 3.08e-04, valid error_rate: 0.00e+00
Epoch: 10, lr: 5.90e-05, wavlm_lr: 5.90e-06 - train loss: 2.03e-02 - valid loss: 2.38e-05, valid error_rate: 0.00e+00
Epoch: 11, lr: 5.31e-05, wavlm_lr: 5.31e-06 - train loss: 4.63e-03 - valid loss: 1.81e-05, valid error_rate: 0.00e+00
Epoch: 12, lr: 4.78e-05, wavlm_lr: 4.78e-06 - train loss: 7.85e-03 - valid loss: 4.24e-05, valid error_rate: 0.00e+00
Epoch: 13, lr: 4.30e-05, wavlm_lr: 4.30e-06 - train loss: 8.08e-04 - valid loss: 9.15e-02, valid error_rate: 8.00e-03
Epoch: 14, lr: 3.87e-05, wavlm_lr: 3.87e-06 - train loss: 4.63e-04 - valid loss: 9.54e-03, valid error_rate: 8.00e-03
Epoch: 15, lr: 3.49e-05, wavlm_lr: 3.49e-06 - train loss: 1.16e-03 - valid loss: 7.92e-02, valid error_rate: 8.00e-03
Epoch: 16, lr: 3.14e-05, wavlm_lr: 3.14e-06 - train loss: 6.51e-03 - valid loss: 1.02e-01, valid error_rate: 8.00e-03
Epoch: 17, lr: 2.82e-05, wavlm_lr: 2.82e-06 - train loss: 2.79e-04 - valid loss: 9.92e-02, valid error_rate: 8.00e-03
Epoch: 18, lr: 2.54e-05, wavlm_lr: 2.54e-06 - train loss: 1.68e-04 - valid loss: 9.87e-02, valid error_rate: 8.00e-03
Epoch: 19, lr: 2.29e-05, wavlm_lr: 2.29e-06 - train loss: 2.43e-03 - valid loss: 9.95e-02, valid error_rate: 8.00e-03
Epoch: 20, lr: 2.06e-05, wavlm_lr: 2.06e-06 - train loss: 4.34e-03 - valid loss: 7.71e-06, valid error_rate: 0.00e+00
Epoch: 21, lr: 2.06e-05, wavlm_lr: 2.06e-06 - train loss: 1.34e-04 - valid loss: 6.88e-06, valid error_rate: 0.00e+00
Epoch: 22, lr: 1.85e-05, wavlm_lr: 1.85e-06 - train loss: 1.40e-02 - valid loss: 1.86e-05, valid error_rate: 0.00e+00
Epoch: 23, lr: 1.67e-05, wavlm_lr: 1.67e-06 - train loss: 4.14e-04 - valid loss: 6.72e-06, valid error_rate: 0.00e+00
Epoch: 24, lr: 1.50e-05, wavlm_lr: 1.50e-06 - train loss: 2.10e-03 - valid loss: 7.01e-06, valid error_rate: 0.00e+00
Epoch: 25, lr: 1.35e-05, wavlm_lr: 1.35e-06 - train loss: 2.42e-04 - valid loss: 6.63e-06, valid error_rate: 0.00e+00
Epoch: 26, lr: 1.22e-05, wavlm_lr: 1.22e-06 - train loss: 6.26e-05 - valid loss: 6.32e-06, valid error_rate: 0.00e+00
Epoch: 27, lr: 1.09e-05, wavlm_lr: 1.09e-06 - train loss: 1.49e-04 - valid loss: 6.11e-06, valid error_rate: 0.00e+00
Epoch: 28, lr: 9.85e-06, wavlm_lr: 9.85e-07 - train loss: 5.05e-05 - valid loss: 5.88e-06, valid error_rate: 0.00e+00
Epoch: 29, lr: 8.86e-06, wavlm_lr: 8.86e-07 - train loss: 2.51e-03 - valid loss: 5.50e-06, valid error_rate: 0.00e+00
Epoch: 30, lr: 7.98e-06, wavlm_lr: 7.98e-07 - train loss: 5.38e-05 - valid loss: 5.35e-06, valid error_rate: 0.00e+00
Epoch loaded: 30 - test loss: 1.60e-03, test error_rate: 0.00e+00
