Epoch: 1, lr: 1.00e-03 - train loss: 4.30e-01 - valid loss: 6.90e-01, valid error: 2.33e-01
Epoch: 2, lr: 9.69e-04 - train loss: 1.85e-01 - valid loss: 6.07e-01, valid error: 2.11e-01
Epoch: 3, lr: 9.38e-04 - train loss: 6.74e-02 - valid loss: 3.87e-01, valid error: 1.22e-01
Epoch: 4, lr: 9.07e-04 - train loss: 3.84e-02 - valid loss: 2.12e-01, valid error: 8.89e-02
Epoch: 5, lr: 8.76e-04 - train loss: 2.09e-02 - valid loss: 1.47e-01, valid error: 7.78e-02
Epoch: 6, lr: 8.45e-04 - train loss: 2.10e-02 - valid loss: 3.91e-01, valid error: 1.11e-01
Epoch: 7, lr: 8.14e-04 - train loss: 2.05e-02 - valid loss: 8.60e-02, valid error: 3.33e-02
Epoch: 8, lr: 7.83e-04 - train loss: 3.88e-02 - valid loss: 1.62e-01, valid error: 4.44e-02
Epoch: 9, lr: 7.52e-04 - train loss: 1.34e-02 - valid loss: 1.70e-01, valid error: 6.67e-02
Epoch: 10, lr: 7.21e-04 - train loss: 1.70e-02 - valid loss: 1.45e-01, valid error: 5.56e-02
Epoch: 11, lr: 6.90e-04 - train loss: 1.29e-02 - valid loss: 2.30e-01, valid error: 5.56e-02
Epoch: 12, lr: 6.59e-04 - train loss: 4.79e-03 - valid loss: 1.45e-01, valid error: 4.44e-02
Epoch: 13, lr: 6.28e-04 - train loss: 3.74e-03 - valid loss: 1.42e-01, valid error: 3.33e-02
Epoch: 14, lr: 5.97e-04 - train loss: 5.30e-03 - valid loss: 5.04e-02, valid error: 1.11e-02
Epoch: 15, lr: 5.66e-04 - train loss: 8.90e-03 - valid loss: 7.81e-02, valid error: 2.22e-02
Epoch: 16, lr: 5.34e-04 - train loss: 1.08e-02 - valid loss: 1.40e-01, valid error: 5.56e-02
Epoch: 17, lr: 5.03e-04 - train loss: 7.33e-03 - valid loss: 9.92e-02, valid error: 4.44e-02
Epoch: 18, lr: 4.72e-04 - train loss: 2.96e-03 - valid loss: 1.09e-01, valid error: 3.33e-02
Epoch: 19, lr: 4.41e-04 - train loss: 1.07e-02 - valid loss: 1.21e-01, valid error: 3.33e-02
Epoch: 20, lr: 4.10e-04 - train loss: 9.48e-03 - valid loss: 9.52e-02, valid error: 4.44e-02
Epoch: 21, lr: 3.79e-04 - train loss: 4.60e-03 - valid loss: 1.10e-01, valid error: 4.44e-02
Epoch: 22, lr: 3.48e-04 - train loss: 9.35e-03 - valid loss: 8.08e-02, valid error: 3.33e-02
Epoch: 23, lr: 3.17e-04 - train loss: 4.79e-03 - valid loss: 9.06e-02, valid error: 2.22e-02
Epoch: 24, lr: 2.86e-04 - train loss: 2.24e-02 - valid loss: 1.11e-01, valid error: 2.22e-02
Epoch: 25, lr: 2.55e-04 - train loss: 8.53e-04 - valid loss: 9.94e-02, valid error: 2.22e-02
Epoch: 26, lr: 2.24e-04 - train loss: 6.89e-03 - valid loss: 9.32e-02, valid error: 3.33e-02
Epoch: 27, lr: 1.93e-04 - train loss: 6.77e-04 - valid loss: 8.61e-02, valid error: 3.33e-02
Epoch: 28, lr: 1.62e-04 - train loss: 2.26e-03 - valid loss: 8.17e-02, valid error: 3.33e-02
Epoch: 29, lr: 1.31e-04 - train loss: 2.07e-03 - valid loss: 1.04e-01, valid error: 3.33e-02
Epoch: 30, lr: 1.00e-04 - train loss: 4.31e-03 - valid loss: 8.98e-02, valid error: 3.33e-02
Epoch loaded: 14 - test loss: 1.43e-02, test error: 1.11e-02
