Epoch: 1, lr: 1.00e-03 - train loss: 8.01e-01 - valid loss: 6.98e-01, valid error: 5.33e-01
Epoch: 2, lr: 9.69e-04 - train loss: 5.90e-01 - valid loss: 6.98e-01, valid error: 5.33e-01
Epoch: 3, lr: 9.38e-04 - train loss: 5.50e-01 - valid loss: 6.98e-01, valid error: 5.33e-01
Epoch: 4, lr: 9.07e-04 - train loss: 7.52e-02 - valid loss: 6.96e-01, valid error: 5.33e-01
Epoch: 5, lr: 8.76e-04 - train loss: 5.26e-02 - valid loss: 6.93e-01, valid error: 5.33e-01
Epoch: 6, lr: 8.45e-04 - train loss: 2.31e-02 - valid loss: 6.82e-01, valid error: 5.33e-01
Epoch: 7, lr: 8.14e-04 - train loss: 1.84e-01 - valid loss: 6.76e-01, valid error: 5.33e-01
Epoch: 8, lr: 7.83e-04 - train loss: 2.80e-02 - valid loss: 6.65e-01, valid error: 5.33e-01
Epoch: 9, lr: 7.52e-04 - train loss: 9.55e-02 - valid loss: 6.47e-01, valid error: 5.33e-01
Epoch: 10, lr: 7.21e-04 - train loss: 1.41e-02 - valid loss: 5.74e-01, valid error: 5.33e-01
Epoch: 11, lr: 6.90e-04 - train loss: 3.30e-02 - valid loss: 4.76e-01, valid error: 3.33e-01
Epoch: 12, lr: 6.59e-04 - train loss: 4.58e-02 - valid loss: 3.51e-01, valid error: 1.33e-01
Epoch: 13, lr: 6.28e-04 - train loss: 1.22e-02 - valid loss: 2.28e-01, valid error: 6.67e-02
Epoch: 14, lr: 5.97e-04 - train loss: 1.01e-02 - valid loss: 1.78e-01, valid error: 6.67e-02
Epoch: 15, lr: 5.66e-04 - train loss: 3.30e-01 - valid loss: 2.03e-01, valid error: 6.67e-02
Epoch: 16, lr: 5.34e-04 - train loss: 4.55e-01 - valid loss: 2.43e-01, valid error: 1.33e-01
Epoch: 17, lr: 5.03e-04 - train loss: 5.94e-03 - valid loss: 2.13e-01, valid error: 6.67e-02
Epoch: 18, lr: 4.72e-04 - train loss: 4.25e-03 - valid loss: 2.46e-01, valid error: 1.33e-01
Epoch: 19, lr: 4.41e-04 - train loss: 1.10 - valid loss: 1.73e-01, valid error: 6.67e-02
Epoch: 20, lr: 4.10e-04 - train loss: 5.43e-03 - valid loss: 6.03e-02, valid error: 0.00e+00
Epoch: 21, lr: 3.79e-04 - train loss: 6.69e-02 - valid loss: 4.31e-02, valid error: 0.00e+00
Epoch: 22, lr: 3.48e-04 - train loss: 9.18e-02 - valid loss: 3.65e-02, valid error: 0.00e+00
Epoch: 23, lr: 3.17e-04 - train loss: 5.96e-02 - valid loss: 3.96e-02, valid error: 0.00e+00
Epoch: 24, lr: 2.86e-04 - train loss: 5.16e-02 - valid loss: 4.12e-02, valid error: 0.00e+00
Epoch: 25, lr: 2.55e-04 - train loss: 6.17e-02 - valid loss: 4.34e-02, valid error: 0.00e+00
Epoch: 26, lr: 2.24e-04 - train loss: 1.39e-02 - valid loss: 3.78e-02, valid error: 0.00e+00
Epoch: 27, lr: 1.93e-04 - train loss: 8.57e-03 - valid loss: 3.49e-02, valid error: 0.00e+00
Epoch: 28, lr: 1.62e-04 - train loss: 8.18e-03 - valid loss: 2.99e-02, valid error: 0.00e+00
Epoch: 29, lr: 1.31e-04 - train loss: 7.21e-02 - valid loss: 3.12e-02, valid error: 0.00e+00
Epoch: 30, lr: 1.00e-04 - train loss: 9.63e-03 - valid loss: 2.19e-02, valid error: 0.00e+00
Epoch loaded: 30 - test loss: 1.23e-02, test error: 0.00e+00
