Epoch: 1, lr: 1.00e-03 - train loss: 4.78e-01 - valid loss: 6.74e-01, valid error: 4.46e-01
Epoch: 2, lr: 9.69e-04 - train loss: 2.39e-01 - valid loss: 6.30e-01, valid error: 4.46e-01
Epoch: 3, lr: 9.38e-04 - train loss: 1.19e-01 - valid loss: 4.38e-01, valid error: 2.57e-01
Epoch: 4, lr: 9.07e-04 - train loss: 9.00e-02 - valid loss: 1.82e-01, valid error: 9.46e-02
Epoch: 5, lr: 8.76e-04 - train loss: 9.08e-02 - valid loss: 9.99e-02, valid error: 5.41e-02
Epoch: 6, lr: 8.45e-04 - train loss: 4.10e-02 - valid loss: 6.84e-02, valid error: 4.05e-02
Epoch: 7, lr: 8.14e-04 - train loss: 2.66e-02 - valid loss: 6.66e-02, valid error: 1.35e-02
Epoch: 8, lr: 7.83e-04 - train loss: 1.38e-02 - valid loss: 9.37e-02, valid error: 5.41e-02
Epoch: 9, lr: 7.52e-04 - train loss: 9.27e-03 - valid loss: 7.23e-02, valid error: 5.41e-02
Epoch: 10, lr: 7.21e-04 - train loss: 2.48e-02 - valid loss: 4.12e-02, valid error: 2.70e-02
Epoch: 11, lr: 6.90e-04 - train loss: 9.29e-03 - valid loss: 2.77e-02, valid error: 1.35e-02
Epoch: 12, lr: 6.59e-04 - train loss: 2.72e-02 - valid loss: 3.06e-02, valid error: 1.35e-02
Epoch: 13, lr: 6.28e-04 - train loss: 1.76e-02 - valid loss: 7.07e-02, valid error: 2.70e-02
Epoch: 14, lr: 5.97e-04 - train loss: 1.26e-02 - valid loss: 5.09e-02, valid error: 2.70e-02
Epoch: 15, lr: 5.66e-04 - train loss: 1.72e-02 - valid loss: 4.50e-02, valid error: 1.35e-02
Epoch: 16, lr: 5.34e-04 - train loss: 4.00e-03 - valid loss: 3.92e-02, valid error: 1.35e-02
Epoch: 17, lr: 5.03e-04 - train loss: 8.63e-03 - valid loss: 6.44e-02, valid error: 2.70e-02
Epoch: 18, lr: 4.72e-04 - train loss: 2.65e-02 - valid loss: 6.77e-02, valid error: 2.70e-02
Epoch: 19, lr: 4.41e-04 - train loss: 3.26e-03 - valid loss: 1.01e-01, valid error: 4.05e-02
Epoch: 20, lr: 4.10e-04 - train loss: 4.47e-02 - valid loss: 6.83e-02, valid error: 2.70e-02
Epoch: 21, lr: 3.79e-04 - train loss: 2.86e-03 - valid loss: 6.75e-02, valid error: 4.05e-02
Epoch: 22, lr: 3.48e-04 - train loss: 1.99e-03 - valid loss: 7.56e-02, valid error: 4.05e-02
Epoch: 23, lr: 3.17e-04 - train loss: 2.85e-03 - valid loss: 6.78e-02, valid error: 4.05e-02
Epoch: 24, lr: 2.86e-04 - train loss: 1.73e-02 - valid loss: 5.10e-02, valid error: 4.05e-02
Epoch: 25, lr: 2.55e-04 - train loss: 2.70e-03 - valid loss: 3.74e-02, valid error: 2.70e-02
Epoch: 26, lr: 2.24e-04 - train loss: 1.13e-02 - valid loss: 3.46e-02, valid error: 2.70e-02
Epoch: 27, lr: 1.93e-04 - train loss: 1.97e-03 - valid loss: 3.32e-02, valid error: 1.35e-02
Epoch: 28, lr: 1.62e-04 - train loss: 1.63e-03 - valid loss: 3.36e-02, valid error: 2.70e-02
Epoch: 29, lr: 1.31e-04 - train loss: 1.10e-02 - valid loss: 3.31e-02, valid error: 2.70e-02
Epoch: 30, lr: 1.00e-04 - train loss: 1.68e-03 - valid loss: 3.15e-02, valid error: 2.70e-02
Epoch loaded: 27 - test loss: 9.53e-02, test error: 1.33e-02
