Epoch: 1, lr: 1.00e-03 - train loss: 3.36e-01 - valid loss: 2.00e-01, valid error: 8.00e-02
Epoch: 2, lr: 9.63e-04 - train loss: 1.01e-01 - valid loss: 4.13e-01, valid error: 8.80e-02
Epoch: 3, lr: 9.25e-04 - train loss: 1.48e-01 - valid loss: 2.62e-01, valid error: 1.04e-01
Epoch: 4, lr: 8.88e-04 - train loss: 8.69e-02 - valid loss: 1.36e-01, valid error: 5.60e-02
Epoch: 5, lr: 8.50e-04 - train loss: 1.30e-01 - valid loss: 8.11e-02, valid error: 4.80e-02
Epoch: 6, lr: 8.13e-04 - train loss: 8.69e-02 - valid loss: 6.44e-02, valid error: 2.40e-02
Epoch: 7, lr: 7.75e-04 - train loss: 8.78e-02 - valid loss: 8.42e-02, valid error: 4.00e-02
Epoch: 8, lr: 7.38e-04 - train loss: 6.89e-02 - valid loss: 1.84e-01, valid error: 5.60e-02
Epoch: 9, lr: 7.00e-04 - train loss: 3.92e-02 - valid loss: 2.29e-02, valid error: 8.00e-03
Epoch: 10, lr: 6.63e-04 - train loss: 2.66e-02 - valid loss: 1.30e-02, valid error: 8.00e-03
Epoch: 11, lr: 6.25e-04 - train loss: 1.38e-01 - valid loss: 1.02e-01, valid error: 3.20e-02
Epoch: 12, lr: 5.88e-04 - train loss: 1.34e-01 - valid loss: 8.13e-02, valid error: 2.40e-02
Epoch: 13, lr: 5.50e-04 - train loss: 4.77e-02 - valid loss: 4.86e-02, valid error: 1.60e-02
Epoch: 14, lr: 5.13e-04 - train loss: 3.39e-02 - valid loss: 8.46e-02, valid error: 4.80e-02
Epoch: 15, lr: 4.75e-04 - train loss: 4.46e-02 - valid loss: 6.41e-02, valid error: 1.60e-02
Epoch: 16, lr: 4.38e-04 - train loss: 3.63e-02 - valid loss: 2.15e-02, valid error: 8.00e-03
Epoch: 17, lr: 4.00e-04 - train loss: 2.41e-02 - valid loss: 2.29e-02, valid error: 8.00e-03
Epoch: 18, lr: 3.63e-04 - train loss: 1.08e-01 - valid loss: 3.01e-02, valid error: 1.60e-02
Epoch: 19, lr: 3.25e-04 - train loss: 7.21e-02 - valid loss: 4.65e-02, valid error: 2.40e-02
Epoch: 20, lr: 2.88e-04 - train loss: 5.95e-03 - valid loss: 1.27e-02, valid error: 0.00e+00
Epoch: 21, lr: 2.50e-04 - train loss: 4.20e-03 - valid loss: 1.14e-02, valid error: 0.00e+00
Epoch: 22, lr: 2.13e-04 - train loss: 6.93e-03 - valid loss: 3.26e-02, valid error: 1.60e-02
Epoch: 23, lr: 1.75e-04 - train loss: 5.46e-03 - valid loss: 8.78e-03, valid error: 0.00e+00
Epoch: 24, lr: 1.37e-04 - train loss: 1.66e-02 - valid loss: 4.40e-02, valid error: 1.60e-02
Epoch: 25, lr: 1.00e-04 - train loss: 3.60e-03 - valid loss: 2.59e-02, valid error: 8.00e-03
Epoch loaded: 25 - test loss: 2.99e-02, test error: 7.94e-03
