Epoch: 1, lr: 3.00e-03 - train loss: 4.71e-01 - valid loss: 1.91, valid error: 3.38e-01
Epoch: 2, lr: 2.90e-03 - train loss: 4.59e-01 - valid loss: 1.65e-01, valid error: 5.41e-02
Epoch: 3, lr: 2.80e-03 - train loss: 2.39e-01 - valid loss: 2.55e-01, valid error: 1.22e-01
Epoch: 4, lr: 2.70e-03 - train loss: 2.18e-01 - valid loss: 2.33e-01, valid error: 5.41e-02
Epoch: 5, lr: 2.60e-03 - train loss: 1.71e-01 - valid loss: 1.16e-01, valid error: 2.70e-02
Epoch: 6, lr: 2.50e-03 - train loss: 9.89e-02 - valid loss: 1.06e-01, valid error: 5.41e-02
Epoch: 7, lr: 2.40e-03 - train loss: 1.07e-01 - valid loss: 9.36e-02, valid error: 6.76e-02
Epoch: 8, lr: 2.30e-03 - train loss: 6.06e-02 - valid loss: 5.93e-02, valid error: 2.70e-02
Epoch: 9, lr: 2.20e-03 - train loss: 6.11e-02 - valid loss: 8.82e-02, valid error: 4.05e-02
Epoch: 10, lr: 2.10e-03 - train loss: 2.17e-02 - valid loss: 6.83e-02, valid error: 5.41e-02
Epoch: 11, lr: 2.00e-03 - train loss: 3.63e-02 - valid loss: 1.78, valid error: 2.03e-01
Epoch: 12, lr: 1.90e-03 - train loss: 1.10e-01 - valid loss: 9.61e-02, valid error: 4.05e-02
Epoch: 13, lr: 1.80e-03 - train loss: 2.54e-02 - valid loss: 6.58e-02, valid error: 2.70e-02
Epoch: 14, lr: 1.70e-03 - train loss: 2.12e-02 - valid loss: 4.55e-02, valid error: 1.35e-02
Epoch: 15, lr: 1.60e-03 - train loss: 3.82e-03 - valid loss: 3.15e-02, valid error: 1.35e-02
Epoch: 16, lr: 1.50e-03 - train loss: 5.15e-03 - valid loss: 4.34e-02, valid error: 2.70e-02
Epoch: 17, lr: 1.40e-03 - train loss: 8.34e-03 - valid loss: 9.58e-02, valid error: 5.41e-02
Epoch: 18, lr: 1.30e-03 - train loss: 7.77e-04 - valid loss: 8.28e-02, valid error: 4.05e-02
Epoch: 19, lr: 1.20e-03 - train loss: 4.04e-04 - valid loss: 1.04e-01, valid error: 5.41e-02
Epoch: 20, lr: 1.10e-03 - train loss: 1.61e-04 - valid loss: 1.12e-01, valid error: 5.41e-02
Epoch: 21, lr: 1.00e-03 - train loss: 1.15e-04 - valid loss: 1.21e-01, valid error: 5.41e-02
Epoch: 22, lr: 9.00e-04 - train loss: 8.38e-05 - valid loss: 1.23e-01, valid error: 5.41e-02
Epoch: 23, lr: 8.00e-04 - train loss: 7.14e-05 - valid loss: 1.25e-01, valid error: 5.41e-02
Epoch: 24, lr: 7.00e-04 - train loss: 6.28e-05 - valid loss: 1.26e-01, valid error: 5.41e-02
Epoch: 25, lr: 6.00e-04 - train loss: 5.49e-05 - valid loss: 1.27e-01, valid error: 5.41e-02
Epoch: 26, lr: 5.00e-04 - train loss: 5.05e-05 - valid loss: 1.27e-01, valid error: 5.41e-02
Epoch: 27, lr: 4.00e-04 - train loss: 5.14e-05 - valid loss: 1.28e-01, valid error: 5.41e-02
Epoch: 28, lr: 3.00e-04 - train loss: 4.65e-05 - valid loss: 1.27e-01, valid error: 5.41e-02
Epoch: 29, lr: 2.00e-04 - train loss: 4.39e-05 - valid loss: 1.27e-01, valid error: 5.41e-02
Epoch: 30, lr: 1.00e-04 - train loss: 4.28e-05 - valid loss: 1.27e-01, valid error: 5.41e-02
Epoch loaded: 15 - test loss: 6.36e-02, test error: 1.33e-02
